# Babylon PER-20 legacy adopter census fixture v1
# provenance|postgres_image|postgis/postgis:17-3.5@sha256:77e89c11c4779c394ebeeaac1099dafb77b728abc8cd45dcaf6c4695503a0c37
# provenance|postgres_version|17.5 (Debian 17.5-1.pgdg110+1)
# provenance|postgres_package|postgresql-17=17.5-1.pgdg110+1
# provenance|postgis_package|postgresql-17-postgis-3=3.5.2+dfsg-1.pgdg110+1
# provenance|pgvector_package|postgresql-17-pgvector=0.8.5-1.pgdg11+1
# provenance|pgvector_deb_sha256|ff0e10806fd87268e2dfac6b2d0aaa5fc2c24341188e7c24f3db7fd112c90f87
# provenance|pgvector_deb_url|https://apt-archive.postgresql.org/pub/repos/apt/pool/main/p/pgvector/postgresql-17-pgvector_0.8.5-1.pgdg11+1_amd64.deb
# provenance|source_git_commit|a95ddd1b24b1157eef95b9b1885219c67486a160
# provenance|startup_options|default_transaction_read_only=on|statement_timeout=5000ms|lock_timeout=5000ms|idle_in_transaction_session_timeout=5000ms|quote_all_identifiers=off|search_path=pg_catalog|jit=off|event_triggers=off
# provenance|POSTGRES_SCHEMA_DDL|chunks=112|digest=0902471053ab7a22cdaf0340978712772990e87a63aaaa1636608894fa52590b
# provenance|migrations-0010-0044|chunks=35|digest=4abe69ddc25569d5dff1941b4fbe2973df5cbd70a9bca4c92b9fe26f51dd45db
# provenance|BABYLON_META_DDL|chunks=6|digest=edb77a84d35f30eab061ead7620ea2907554ee9231c92b6acfe11fc530f669d8
# provenance|migrations-0010-0043|chunks=34|digest=7c77114a3b7053bed1dafae8aea77a894ef2034504306d23745d217252bd6711
# provenance|trace-view-v2-migrations-0020-0023|chunks=4|digest=1d0a4f5cbd8f5cba3b59d48a25950fc4874923ed962400d8374d34edb31fd7b2
# format|kind|schema|name|sha256
relation|public|edge_state|018c7d10091fc365f6a0381b54d2529b9dae4e03e14d28fd2ff01065e856ee30
relation|public|game_defines_snapshot|7ded79466e45376a893ddbeb86cf0bc49987dadb125207d20ff0d4441ffc5c45
relation|public|game_session|37e8d998fe80ee81142ccca11c07f768fbb86853a8bc62775d7b7fbbd4051363
relation|public|game_turn|f57a01d6110a48db22c1c7ae53aff9824d1b997e9f08b97d6fb25bdb5e128b2c
relation|public|graph_metadata|a6df967fcbbaf46b49c616ea9c57f80a511989c1837b8835907ebf512c8c2aea
relation|public|hex_activity|55103df3b76cb0d3db67095127200b7846374a61258de3b1d9bedeaee70b6950
relation|public|hex_cell|ad0baabe5b6087cc43e1469db25af6ddfd630cbb3c853d4b2728a83314715548
relation|public|hex_latest|7a36c209a64b48bdb45c015acae8a0ff7184d5d198cab5c84af1d39d79a20129
relation|public|hex_map|2ff5b76b0db687cf83d86e125e4b5571fd661127318e91dc7c57dfcab8f0b5b5
relation|public|hex_r8_linear_features_reference|53c4e532407c97018d5fde935668186402485d7bb33683dbd6ca236c9b53db45
relation|public|hex_r8_reference|b1980d0e3f65ea15145a2acdc2e864f8110931df13f9cbb22a297c2f7cb3965a
relation|public|hex_spatial_map|f05442766875b684e1608334944328cc9139f559bd6cfd5371346b82a9b8e748
relation|public|hex_state|ae0b60739a077518a34c380e0e1973ca9ef3c957f97a54a40c600be97978d697
relation|public|hex_substrate|04b0f7440eecbc443aa7747af2fb36b4c454ff76e0cf3c9a4e4c1b5ec2750218
relation|public|hex_terrain_state|47961fdf72bb45dbbc7c1d603263a1370809d0b4efa86c49cbea7be42cb0af95
relation|public|immutable_reference_basket_gamma|30637160c941ddb00997a23cede52519064b98366f1abfdfe44fa69d123a1f50
relation|public|immutable_reference_bea_io|2b676707ac7f22c1bd13198842efeb81186bda3cf97d4f33725b8b4f3cc7bc76
relation|public|immutable_reference_bea_reis_rent|9767b3f467a6629aff9bbfa342f9b89045af8bec85632d4ca46c46fe6b09738e
relation|public|immutable_reference_border_commute_synthesis|5862d5f4a1abae27039a1185783d6dffd335d8ba7124f9f19807babb5dc51817
relation|public|immutable_reference_erdi|8f2104377e5790910f41fb153532a6d0c998b65a931c5572f0b979c5b9447236
relation|public|immutable_reference_faf_freight|d1a0f1d6b00e79655327e14957cd51246a12ccfa81539bcbe2299bb583a5b0c3
relation|public|immutable_reference_fred_rates|74f490867d09422ec41ee99ef623b1f4d8c84f91b03dcb81fb5c10e2e6d35a6d
relation|public|immutable_reference_hickel_drain|307feb4e217e4b722c9a0b0b2dca4404dbc21648b14b56de87bbb510737488e7
relation|public|immutable_reference_lodes_od_matrix|33b11927f9cc3ab6255c4aec2ca0c099dd53979308880575aa64546398d196b9
relation|public|immutable_reference_melt_tau|34786d4cdf31f97569e449c2fe928fabb4df9fa9b2fbe0cb507f6e55b30f41e3
relation|public|immutable_reference_qcew_employment|608aebd8a752f3b02ff2e1430bf4b9dfca8af99adb12b98e21b9301d0b010c94
relation|public|immutable_reference_ricci_unequal|5e47a2700a5c108e4564537de9e68a417f81621fc7bf6479952f636d297b702a
relation|public|immutable_reference_tiger_county|947df4ce4325b0697c5f4ed60faa3bc19b28dae9c3b4ac9058f06f97ce4303e2
relation|public|infrastructure_link_state|50922c98c84134d022b594fe046a2682d6f9ec299e781e60cca8b852827f2f8d
relation|public|node_state|ba210d62ef92aab7a329be240e7287e5c565dc3354ddf95580ab9ecc598a7d1b
relation|public|org_snapshot|858d2fe4dbe68d390f48386e2288765ef00f4bee964968e42b5970e5b2868c9a
relation|public|runtime_administers_edges|529b00902bf946cef77cafc96a1e8c8c1da77ef3f51efb45e1714930717eca86
relation|public|runtime_claims_edges|d9a67f327de1cbb41bd46b341fab7f68b0e70329f9a59bc279b405a94475c709
relation|public|runtime_influences_edges|f4148e6f6e8cd943e58046adf3afde66f5d9fa145682d933edf9246be3b0f400
relation|public|runtime_political_factions|71b31b695b92209b4539ae18485fb7239020ebf3d6756ecf40b8935ce3f752e9
relation|public|runtime_sovereigns|147bfc11b3374b3c2356a37a6cacc64a63f08b8d1a026f9a124aa100cbb8acee
relation|public|simulation_event|c40e9b95ee26dc90373726b6c796eb6855ec2a2e4b6df6a1a9d71e39683cddd1
relation|public|territory_snapshot|83123ae84dbbf1aacbd2c3c9871ae6ca145897306b64e463c065dee99649bc8e
relation|public|tick_event|dad6dea862841b805b74e4c1cf795a98b4d62841dff276acfe6048d986f22dd0
relation|public|tick_log|5d727fca146f77b166e2fb0683972b3c3cd3590ddcbae5eec5e9fa87a167193b
relation|public|tick_summary|b62a7db2c4b7dee573bac530645835ccf640bdfcdbf9c02f48ef34f8b4432cf3
role|pg_roles|babylon_intel|c3eac28a2cc8dcc019a4d1158d1e22c79737113927816086ca7d268f7ad77184
schema_grant|pg_namespace|babylon_meta|5c0ed6508e7b1598182c8b7440dade9cc39061bb35c672d949b0f3713cf772cc
schema_grant|pg_namespace|public|c5cd4f26587430e95806f14674bec3572f90e3fcd782658f27a2be0b03b0c317
sequence|public|action_result_id_seq|617c90626c2450563a28a5e3ef59b22d661f974f4353d771d9968aec8139435c
sequence|public|balkanization_claims_audit_audit_id_seq|1b2b0cbfb2762c9f8242960e16174161723c01189b45095f23363da01b588918
sequence|public|balkanization_influences_audit_audit_id_seq|f89f4cce6f850a7fff868c8193a7a1ee8ca80b22b5c22b151a500a290d208475
sequence|public|game_turn_id_seq|f5b0dc2687e43f9eb86bf1a40ac4f0584250f5db7ed5910cc7e144bf7cc8b419
sequence|public|hex_r8_linear_features_reference_id_seq|0810cc41f5aa3efe5280ead59bde066ea4bdbaa736d9d42ac0a2d490fc2a369f
sequence|public|simulation_event_id_seq|a81078617799544bdda48245a804692629e3fcbbaf083cb5eb29361525706499
sequence|public|tick_event_event_id_seq|34dde98045237f0936969ae381b03e905dc7b42aa822c5b6734af495b431ca4a
view|public|v_county_value_aggregate|8ef671b0d8e1cc5380e9561ef4c3856429bcee3065d2b70726d9b651fbe328cc
view|public|v_global_phi_balance|24e9e7b8b3051fe87bd7e4e900e7bf37879c7e825426e4bff2c250b45372c52d
view|public|v_hex_aid|92b0b421d54fdc43cc9ef829e6d606301e73b5538e2f83bb356b3bcf85a4b3ad
view|public|v_hex_economic|4c9bd2efb7a8475f8835e745afbb3fa900639f8631f90eb3e622d63be270d8e9
view|public|v_hex_heat|448883a1ef18f06b1f5cb4b69957f850197cd0526eeb41fb61884c3e063ec483
view|public|v_hex_intel|75bff4229bf0899c96b36ce81b230564eee897b0af9728b05e0ae7b300ab4d68
view|public|v_hex_mobilize|26edc981797738f3fd52931f8ef6fc6777b8ba69ee2b6436535d754854ca67d7
view|public|v_hex_state_asof|2de36bf946b92d4b641401995924876e629389517a5e859d533b8552abc47566
view|public|v_national_trend|d3f25cd3ea2c17849d296d8ea3c94410281995fdf059ee163bd8f0b5b5b3714c
view|public|v_national_value_aggregate|0e32feb68db281ca4565cf95097febfe5c55941285e11bf255d1b738182206ad
view|public|v_state_value_aggregate|667210c2fc236826f319cfd922b75d48eebed3356294a05d2990f59c5a321c4d
view|public|view_runtime_trace_emission|ef4b5d782df6ed06655bd7ae201a7e1fbbaa3858767b211c2f4e268a794715ce
