# Current schema exact catalog; PostgreSQL 17.11, task-owned PER-330 database.
# source|postgres_catalog.sql|f6b876b0e379081adf25a89165eac7a57f1e596fc369abbbc34807d6268a6c22
# source|current_schema.sql|a100aba450eda3c76965a468e0f97626a71b6f87f94b9c13fc2ad1190539d96c
# source|current_archive.sql|b93ab30195b52e39f82a17b862deba516e097f0723c9d5d5d4c83f0d31c5448b
# source|current_views.sql|f380a36d7fb83122fba0937857596fe92714038f6a0c3fdf6b058e285b52cd9d
# configuration|current_schema_reader_observer
# format|kind|schema|name|sha256
relation|babylon_state|organization_state_field_v1|362c1ea127f3484628d81b544960ff114119bf83798d174dfa99c2afaa56fe93
relation|babylon_state|organization_state_v1|fd8f00f4e57904efecaa46e4191f5fc882a3b098039fdf51fc9f70f4c99a6708
relation|babylon_state|organization_territory_v1|91d2f1e6b867f33d862f855582014cce4e5cf01f85dac801438f792777bd62f2
relation|babylon_state|territory_state_field_v1|fe3022cefcfc7ed3ee8a89b2694f80cdd9435b87b759228b4ac63560d7276e25
relation|babylon_state|territory_state_v1|a8618b33895f99dfd8799f405d68ba8c5e0569cc84daa36d7f0cd296685456f5
relation|babylon_state|tick_action_batch_v1|e197fa0966509f778005db09bc036a6d6e9bdc32a5632974b4f34e6a62d87314
relation|babylon_state|tick_choice_receipt_branch_v1|0994d7473ef22ec017016c9e1a2eded751776f12ac4b7b470df5408a08084d6b
relation|babylon_state|tick_choice_receipt_carrier_element_v1|d6a50b7d7b95dce6233910fcfeba0898bf345b64c1063f60a1164d767252cee9
relation|babylon_state|tick_choice_receipt_v1|7a080ccfe0dade48b25b14289f8ce6f7fc1c5742a03416ce9eb5d71041fe18dd
relation|babylon_state|tick_commit|8ae5b705ae2ab1bdacf7cb4dbfaa164ce9eb006a9544197cb5a225bc886deedf
relation|babylon_state|tick_event_field_v2|58633a66681c92e921514f115c677fb83da52750c8793620dc8039f76862fe61
relation|babylon_state|tick_event_v2|601f2806bd038dd12be5139861211bcab77ca87dcdcf4d907621c1102225d2d1
