county_id,bea_ea_id
1232,8
1233,6
1234,3
1235,8
1236,8
1237,7
1238,6
1239,3
1240,7
1241,8
1242,1
1243,4
1244,4
1245,1
1246,8
1247,8
1248,6
1249,5
1250,5
1251,8
1252,6
1253,6
1254,5
1255,8
1256,2
1257,7
1258,6
1259,8
1260,5
1261,2
1262,6
1263,2
1264,5
1265,3
1266,7
1267,6
1268,5
1269,2
1270,4
1271,8
1272,3
1273,6
1274,3
1275,2
1276,8
1277,2
1278,2
1279,8
1280,8
1281,2
1282,8
1283,6
1284,8
1285,3
1286,6
1287,7
1288,8
1289,2
1290,3
1291,8
1292,3
1293,3
1294,2
1295,3
1296,7
1297,8
1298,3
1299,8
1300,8
1301,3
1302,8
1303,7
1304,2
1305,2
1306,4
1307,2
1308,6
1309,2
1310,2
1311,4
1312,2
1313,2
1314,8
